2022-05-17 00:49:45.619 DEBUG 5580 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'commentExtMapper' and 'seekgroup.college.community.mapper.CommentExtMapper' mapperInterface
2022-05-17 00:49:45.620 DEBUG 5580 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'commentExtMapper'.
2022-05-17 00:49:45.620 DEBUG 5580 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'commentMapper' and 'seekgroup.college.community.mapper.CommentMapper' mapperInterface
2022-05-17 00:49:45.620 DEBUG 5580 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'commentMapper'.
2022-05-17 00:49:45.621 DEBUG 5580 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'discussionExtMapper' and 'seekgroup.college.community.mapper.DiscussionExtMapper' mapperInterface
2022-05-17 00:49:45.621 DEBUG 5580 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'discussionExtMapper'.
2022-05-17 00:49:45.621 DEBUG 5580 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'discussionMapper' and 'seekgroup.college.community.mapper.DiscussionMapper' mapperInterface
2022-05-17 00:49:45.622 DEBUG 5580 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'discussionMapper'.
2022-05-17 00:49:45.622 DEBUG 5580 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'notificationMapper' and 'seekgroup.college.community.mapper.NotificationMapper' mapperInterface
2022-05-17 00:49:45.622 DEBUG 5580 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'notificationMapper'.
2022-05-17 00:49:45.623 DEBUG 5580 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'userMapper' and 'seekgroup.college.community.mapper.UserMapper' mapperInterface
2022-05-17 00:49:45.623 DEBUG 5580 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'userMapper'.
2022-05-17 00:49:45.738 DEBUG 5580 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.test.mock.mockito.MockitoPostProcessor'
2022-05-17 00:49:45.745 DEBUG 5580 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.sql.init.dependency.DatabaseInitializationDependencyConfigurer$DependsOnDatabaseInitializationPostProcessor'
2022-05-17 00:49:45.839 DEBUG 5580 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
2022-05-17 00:49:45.842 DEBUG 5580 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'preserveErrorControllerTargetClassPostProcessor'
2022-05-17 00:49:45.843 DEBUG 5580 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'forceAutoProxyCreatorToUseClassProxying'
2022-05-17 00:49:45.846 DEBUG 5580 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
2022-05-17 00:49:45.847 DEBUG 5580 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionalEventListenerFactory'
2022-05-17 00:49:45.852 DEBUG 5580 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.test.mock.mockito.MockitoPostProcessor$SpyPostProcessor'
2022-05-17 00:49:45.854 DEBUG 5580 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
2022-05-17 00:49:45.857 DEBUG 5580 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
2022-05-17 00:49:45.866 DEBUG 5580 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor'
